词条,字数,所属子类,独立成词频次,字面频次,首现章回,首现回目,其他归属,备注,例句
牛,1,牲畜坐骑,6,34,11,庆寿辰宁府排家宴 见熙凤贾瑞起淫心,,多与车马并称,方才南安郡王、东平郡王、西宁郡王、北静郡王四家王爷，并镇国公牛府等六家、忠靖侯史府等人家，都差人持名帖送寿礼来，俱回了我父亲，收在账房里。
小轿,2,车轿舟船,6,8,2,贾夫人仙逝扬州城 冷子兴演说荣国府,,,当夜用一乘小轿，便把娇杏送进衙内去了。
接风,2,出行活动,6,6,4,薄命女偏逢簿命郎 葫芦僧判断葫芦案,,,合家俱厮见过，又治席接风。
赏花,2,出行活动,6,6,5,贾宝玉神游太虚境 警幻仙曲演红楼梦,,,因东边宁府花园内梅花盛开，贾珍之妻尤氏乃治酒具，请贾母、邢夫人、王夫人等赏花，是日先带了贾蓉夫妻二人来面请。
车子,2,车轿舟船,6,6,9,训劣子李贵承申饬 嗔顽童茗烟闹书房,,,雇上一辆车子拉进去，当着老太太问他，岂不省事？
还愿,2,出行活动,6,6,3,托内兄如海荐西宾 接外孙贾母惜孤女,,,我就只一件不放心，我有一个孽根祸胎，是家里的‘混世魔王’，今日因往庙里还愿去，尚未回来，晚上你看见就知道了。
送行,2,出行活动,6,6,37,秋爽斋偶结海棠社 蘅芜院夜拟菊花题,,,宝玉等如何送行，以及贾政出差外面诸事，不及细述。
闲逛,2,出行活动,6,6,20,王熙凤正言弹妒意 林黛玉俏语谑娇音,,,因饭后走到薛姨妈这边闲逛。
动身,2,出行活动,5,5,46,尴尬人难免尴尬事 鸳鸯女誓绝鸳鸯偶,,,”鸳鸯只低头不动身。
归省,2,出行活动,5,5,18,皇恩重元妃省父母 天伦乐宝玉呈才藻,,,文风已著宸游夕，孝化应隆归省时。
牲口,2,牲畜坐骑,5,5,53,宁国府除夕祭宗祠 荣国府元宵开夜宴,,,…五十斛，粉粳五十斛，杂色粱谷各五十斛，下用常米一千担，各色干菜一车，外卖粱谷牲口各项折银二千五百两。…
船只,2,车轿舟船,5,5,3,托内兄如海荐西宾 接外孙贾母惜孤女,,,如海道：“天缘凑巧，因贱荆去世，都中家岳母念及小女无人依傍，前已道了男女船只来接，因小女未曾大痊，故尚未行，此刻正思送女进京。
