词条,字数,所属子类,独立成词频次,字面频次,首现章回,首现回目,其他归属,备注,例句
学堂,2,建筑形制,1,1,9,训劣子李贵承申饬 嗔顽童茗烟闹书房,,,你闹了学堂，不说变个法儿压息了才是，还往火里奔！
屏门,2,建筑形制,1,1,33,手足眈眈小动唇舌 不肖种种大承苔挞,,,刚转过屏门，不想对面来了一人正往里走，可巧撞了个满怀。
扫花,2,起居生活,1,1,37,秋爽斋偶结海棠社 蘅芜院夜拟菊花题,,,若蒙造雪而来，敢请扫花以俟。
扫雪,2,起居生活,1,1,49,琉璃世界白雪红梅 脂粉香娃割腥啖膻,,,宝玉来至芦雪庭，只见丫头婆子正在那里扫雪开径。
拔步床,3,室内陈设,1,1,40,史太君两宴大观园 金鸳鸯三宣牙牌令,,,”东边便设着卧榻拔步床，上悬着葱绿双绣花卉草虫的纱帐。
明角灯,3,室内陈设,1,1,14,林如海灵返苏州郡 贾宝玉路遏北静王,,,凤姐出至厅前，上了车，前面一对明角灯，上写“荣国府”三个大字。
曲径通幽,4,园林景致,1,1,17,大观园试才题对额 荣国府归省庆元宵,,,莫如直书古人‘曲径通幽’这旧句在上，倒也大方。
枕套,2,床帐被褥,1,1,21,贤袭人娇嗔箴宝玉 俏平儿软语救贾琏,,,次日早起，凤姐往上屋里去后，平儿收拾外边拿进来的衣服铺盖，不承望枕套中抖出一绺青丝来。
武陵源,3,园林景致,1,1,17,大观园试才题对额 荣国府归省庆元宵,,,”众人道：“再不必拟了，恰恰乎是‘武陵源’三字。
汝窑花囊,4,室内陈设,1,1,40,史太君两宴大观园 金鸳鸯三宣牙牌令,,,那一边设着斗大的一个汝窑花囊，插着满满的一囊水晶球的白菊。
汤婆子,3,室内陈设,1,1,51,薛小妹新编怀古诗 胡庸医乱用虎狼药,,,”晴雯笑道：“终久暖和不成，我又想起来，汤婆子还没拿来呢。
沁芳溪,3,园林景致,1,1,26,蜂腰桥设言传心事 潇湘馆春困发幽情,,,晃出了房门，在回廊上调弄了一回雀儿，出至院外，顺着沁芳溪，看了一回金鱼。
洒扫,2,起居生活,1,1,3,托内兄如海荐西宾 接外孙贾母惜孤女,,,亦如迎春等一般，每人除自幼乳母外，另有四个教引嬷嬷，除贴身掌管钗钏盥沐两个丫头外，另有四五个洒扫房屋来往使役的小丫头。
